f_1,f_2,f_3,"w_1,1","w_1,2","w_1,3","w_2,1","w_2,2","w_2,3","w_3,1","w_3,2","w_3,3"
0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,-1,0,2,0,-2,-3,-1,0,-2
0,0,4,-1,0,-1,0,-2,1,-1,0,-2
0,0,10,0,-3,1,-1,-3,0,-1,-3,-3
0,0,12,0,-3,0,-1,-3,3,-1,-3,-3
0,0,14,0,-3,1,-1,-3,2,-1,-3,-3
0,0,16,-1,-1,-2,0,-1,-3,-1,0,2
0,0,34,-1,0,3,0,-2,-3,-1,0,-2
0,0,42,0,-3,3,-1,-3,-1,-1,-3,-2
0,0,48,-1,-1,0,0,-1,-3,-1,0,2
0,0,50,-1,-1,1,0,-1,-3,-1,0,2
0,0,68,-1,0,-2,0,-2,2,-1,0,-1
0,0,76,0,-3,-1,-1,-3,3,-1,-3,-2
0,0,80,-1,-1,-3,0,-1,-2,-1,0,3
0,0,84,-1,-1,-3,0,-1,1,-1,0,2
0,0,112,-1,-1,-2,0,-1,-2,-1,0,3
0,0,142,0,-3,1,-1,-3,3,-1,-3,-3
0,0,170,0,-3,3,-1,-3,0,-1,-3,-2
0,0,174,0,-3,3,-1,-3,2,-1,-3,-2
0,0,178,-1,-1,1,0,-1,-3,-1,0,3
0,0,186,0,-3,3,-1,-3,-1,-1,-3,1
0,0,204,0,-3,0,-1,-3,3,-1,-3,-2
0,0,206,0,-3,2,-1,-3,3,-1,-3,-2
0,0,212,-1,-1,-3,0,-1,1,-1,0,3
0,0,220,0,-3,-1,-1,-3,3,-1,-3,1
0,0,238,0,-3,3,-1,-3,3,-1,-3,-2
0,0,240,-1,-1,0,0,-1,-2,-1,0,3
0,0,242,-1,-1,1,0,-1,-2,-1,0,3
0,0,244,-1,-1,-2,0,-1,1,-1,0,3
0,0,250,0,-3,3,-1,-3,0,-1,-3,1
0,0,252,0,-3,0,-1,-3,3,-1,-3,1
0,0,254,0,-3,3,-1,-3,3,-1,-3,1
0,2,2,-1,1,1,0,-2,-3,-1,-1,-2
0,2,4,0,1,-1,-1,-1,1,-1,-1,-1
0,2,10,0,3,3,-1,-3,-2,-1,-3,-3
0,2,12,0,3,0,-1,-3,1,-1,-3,-1
0,2,14,0,3,1,-1,-3,1,-1,-3,-2
0,2,16,-1,1,-1,0,-3,-1,-1,-1,1
0,2,34,-1,1,3,0,-2,-3,-1,-1,-2
0,2,42,0,3,3,-1,-3,-2,-1,-3,-1
0,2,48,-1,1,0,0,-3,-1,-1,-1,1
