v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability
0,2,0,0,0,0101010101010101,0100010011010100,0010101000000000,0011101111111111,1,2,-3,-2,0,-2,1,3,0,-1,1,1,0,1,-3,3,2.0,3,2160,0.023738423104357236,0.08541666666666665,115
0,2,0,0,0,0101010101010101,0100010011010100,0010101100000010,0011101111111111,1,2,-3,-2,0,-2,1,3,0,-1,3,1,0,1,-3,3,2.0,3,4320,0.02497587570604784,0.08888888888888889,115
0,2,0,0,0,0101010101010101,0100010011010100,0010101100101010,0011101111111111,1,2,-3,-2,0,-2,2,3,0,-1,2,1,0,1,-1,3,1.0,3,360,0.02133086465751065,0.06458333333333334,100
0,2,0,0,0,0101010101010101,0100010011010100,0010101100101010,0000100011001100,1,2,-3,-1,0,-2,2,-3,0,-1,2,1,0,1,-1,2,2.0,3,60,0.020465502817071355,0.043750000000000004,86
0,2,0,0,0,0101010101010101,0101010011010101,0010101100101010,0000100011001100,1,2,-3,-1,0,-1,2,-3,0,-1,2,1,0,1,-1,2,1.0,3,60,0.019094065395649333,0.03333333333333333,91
0,2,0,0,0,0101010101010101,0101010011010101,0010000000100000,0000100011001100,1,2,-3,-1,0,-1,1,-3,0,-1,-3,1,0,1,0,2,3.6666666666666665,3,1200,0.02124591463996994,0.075,109
0,2,0,0,0,0101010101010101,0101010011111111,0010000000100000,0000100011001100,1,2,-3,-1,0,-1,1,-3,0,-1,-3,1,0,3,0,2,1.0,2,300,0.02124591463996994,0.075,100
1,0,0,0,0,0101000001010000,0101010011111111,0010000000100000,0000100011001100,1,2,-3,-1,0,-1,1,-3,-3,-1,-3,1,0,3,0,2,1.0,2,300,0.01577474540500076,0.075,100
1,0,0,0,0,0101000001010000,0101010011111111,0010000000100000,0000000011000000,1,2,-3,-2,0,-1,1,-3,-3,-1,-3,-3,0,3,0,3,1.0,2,6000,0.018320702719823497,0.11666666666666665,116
1,0,0,0,0,0101000001010000,0101000011111101,0010000000100000,0000000011000000,1,2,-3,-2,0,-1,1,-3,-3,-2,-3,-3,0,3,0,3,1.0,2,6000,0.018320702719823497,0.11666666666666665,116
1,0,0,0,0,0101000001010000,0101000011111101,0010000000100000,0000000011100000,1,2,-3,-2,0,-1,1,-2,-3,-2,-3,-3,0,3,0,3,1.0,2,1500,0.016315750172876013,0.08750000000000001,108
