v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability,metagraph_x,metagraph_y
0,0,0,0,16,0101010101010101,0011001100110011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,0,0,3,1.0,16,50625,0.038188130791298666,0.13333333333333333,116,0.288709,-0.075005
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0000000011111110,1,-2,-2,-1,0,3,0,-1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,0.392608,0.002259
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0000100011111111,1,-2,-2,-1,0,3,0,-1,0,0,3,1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.491006,-0.175799
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0010000011111111,1,-2,-2,-1,0,3,0,1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.423802,-0.010214
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0100000011111111,1,-2,-2,1,0,3,0,-1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.447357,0.119018
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001110,0000000011111111,1,-2,-1,-2,0,3,-1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,-0.361508,-0.084725
0,0,0,1,14,0101010101010101,0011001100110011,0000111110001111,0000000011111111,1,-2,-1,-2,0,3,-1,0,0,0,3,0,0,0,1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.604908,-0.231669
0,0,0,1,14,0101010101010101,0011001100110011,0010111100001111,0000000011111111,1,-2,-1,-2,0,3,1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.368522,-0.197194
0,0,0,1,14,0101010101010101,0011001100110011,0100111100001111,0000000011111111,1,-2,1,-2,0,3,-1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.216756,0.131957
0,0,0,1,14,0101010101010101,0011001100110010,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,-1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,0.621673,0.42194
0,0,0,1,14,0101010101010101,0011001110110011,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,-1,3,0,0,1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.41796,0.626756
0,0,0,1,14,0101010101010101,0011101100110011,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.480223,0.355814
0,0,0,1,14,0101010101010101,0111001100110011,0000111100001111,0000000011111111,1,1,-2,-2,0,3,0,0,0,-1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.542012,0.493267
0,0,0,1,14,0101010101010100,0011001100110011,0000111100001111,0000000011111111,3,-2,-2,-2,-1,3,0,0,-1,0,3,0,-1,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,0.400446,-0.589146
0,0,0,1,14,0101010111010101,0011001100110011,0000111100001111,0000000011111111,3,-2,-2,-2,-1,3,0,0,-1,0,3,0,1,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.320518,-0.609415
0,0,0,1,14,0101110101010101,0011001100110011,0000111100001111,0000000011111111,3,-2,-2,-2,-1,3,0,0,1,0,3,0,-1,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.268617,-0.709197
0,0,0,1,14,0111010101010101,0011001100110011,0000111100001111,0000000011111111,3,-2,-2,-2,1,3,0,0,-1,0,3,0,-1,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.492609,-0.600122
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011101110,1,-2,-2,-2,0,3,0,-2,0,0,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.602761,0.039011
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000100011101111,1,-2,-2,-2,0,3,0,-2,0,0,3,2,0,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.730709,-0.16402
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011111010,1,-2,-2,-2,0,3,0,0,0,0,3,-2,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.608915,-0.294332
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000101011111111,1,-2,-2,-2,0,3,0,0,0,0,3,1,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.631828,-0.199353
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0010000011111011,1,-2,-2,-2,0,3,0,1,0,0,3,-1,0,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.881991,-0.127959
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0010001011111111,1,-2,-2,-2,0,3,0,1,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.545724,0.046762
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011111100,1,-2,-2,0,0,3,0,-2,0,0,3,-2,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.62769,-0.098421
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000110011111111,1,-2,-2,0,0,3,0,-2,0,0,3,1,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.658345,-0.211999
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0011000011111111,1,-2,-2,0,0,3,0,1,0,0,3,-2,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.63844,-0.089098
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0100000011111101,1,-2,-2,1,0,3,0,-2,0,0,3,-1,0,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.778765,-0.116205
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0100010011111111,1,-2,-2,1,0,3,0,-2,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.580914,-0.036841
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0101000011111111,1,-2,-2,1,0,3,0,0,0,0,3,-2,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.708644,-0.091791
0,0,0,2,12,0101010101010101,0011001100110011,0000111000001110,0000000011111111,1,-2,-2,-2,0,3,-2,0,0,0,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.525544,0.144309
0,0,0,2,12,0101010101010101,0011001100110011,0000111010001111,0000000011111111,1,-2,-2,-2,0,3,-2,0,0,0,3,0,0,0,2,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-1.10134,0.139557
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001010,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,0,-2,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.495624,0.226794
0,0,0,2,12,0101010101010101,0011001100110011,0000111110101111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,0,1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.819708,0.168747
0,0,0,2,12,0101010101010101,0011001100110011,0010111100001011,0000000011111111,1,-2,-2,-2,0,3,1,0,0,0,3,0,0,0,-1,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.89913,0.194402
0,0,0,2,12,0101010101010101,0011001100110011,0010111100101111,0000000011111111,1,-2,-2,-2,0,3,1,0,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.549593,-0.057753
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001100,0000000011111111,1,-2,0,-2,0,3,-2,0,0,0,3,0,0,0,-2,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.63996,0.080925
0,0,0,2,12,0101010101010101,0011001100110011,0000111111001111,0000000011111111,1,-2,0,-2,0,3,-2,0,0,0,3,0,0,0,1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.91011,-0.081781
0,0,0,2,12,0101010101010101,0011001100110011,0011111100001111,0000000011111111,1,-2,0,-2,0,3,1,0,0,0,2,0,0,0,-1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.634803,0.053431
0,0,0,2,12,0101010101010101,0011001100110011,0100111100001101,0000000011111111,1,-2,1,-2,0,3,-2,0,0,0,3,0,0,0,-1,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.856942,0.219586
0,0,0,2,12,0101010101010101,0011001100110011,0100111101001111,0000000011111111,1,-2,1,-2,0,3,-2,0,0,0,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.444506,0.26357
0,0,0,2,12,0101010101010101,0011001100110011,0101111100001111,0000000011111111,1,-2,1,-2,0,3,0,0,0,0,2,0,0,0,-1,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.445082,0.293595
0,0,0,2,12,0101010101010101,0011001000110010,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,-2,3,0,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,0.500081,0.727079
0,0,0,2,12,0101010101010101,0011001010110011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,-2,3,0,0,2,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,0.468305,1.01333
