v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability,metagraph_x,metagraph_y
0,0,0,0,16,0101010101010101,0011001100110011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,0,0,3,1.0,16,50625,0.038188130791298666,0.13333333333333333,116,-0.409287,0.061015
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0000100011111111,1,-2,-2,-1,0,3,0,-1,0,0,3,1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.459257,0.12121
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0010000011111111,1,-2,-2,-1,0,3,0,1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.282816,-0.084838
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0100000011111111,1,-2,-2,1,0,3,0,-1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.469323,0.166275
0,0,0,1,14,0101010101010101,0011001100110011,0000111110001111,0000000011111111,1,-2,-1,-2,0,3,-1,0,0,0,3,0,0,0,1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.504932,0.686432
0,0,0,1,14,0101010101010101,0011001100110011,0010111100001111,0000000011111111,1,-2,-1,-2,0,3,1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.371977,0.389064
0,0,0,1,14,0101010101010101,0011001110110011,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,-1,3,0,0,1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.182835,-0.023337
0,0,0,1,14,0101010101010101,0011101100110011,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,0.148312,0.24426
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001111,0000000011111110,1,-2,-2,-1,0,3,0,-1,0,0,3,-1,0,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,-0.384626,-0.009227
0,0,0,1,14,0101010101010101,0011001100110011,0000111100001110,0000000011111111,1,-2,-1,-2,0,3,-1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,-0.53172,0.415112
0,0,0,1,14,0101010101010101,0011001100110011,0100111100001111,0000000011111111,1,-2,1,-2,0,3,-1,0,0,0,3,0,0,0,-1,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.673993,0.442072
0,0,0,1,14,0101010101010101,0011001100110010,0000111100001111,0000000011111111,1,-1,-2,-2,0,3,0,0,0,-1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,106,0.34939,0.021481
0,0,0,1,14,0101010101010101,0111001100110011,0000111100001111,0000000011111111,1,1,-2,-2,0,3,0,0,0,-1,3,0,0,-1,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,1.26501,-0.12331
0,0,0,1,14,0101010111010101,0011001100110011,0000111100001111,0000000011111111,3,-2,-2,-2,-1,3,0,0,-1,0,3,0,1,0,0,3,1.0,15,3375,0.033071891388307385,0.10000000000000002,105,-0.469422,-0.651772
